COD-FAMILIAR-FAM;RENDA-MEDIA;LOCALIDADE;UNIDADE_DE_ATENDMENTO;COD-AGUA-CANALIZADA-FAM;COD-ABASTE-AGUA-DOMIC-FAM;COD-BANHEIRO-DOMIC-FAM;COD-ESCOA-SANITARIO-DOMIC-FAM;COD-DESTINO-LIXO-DOMIC-FAM;COD-ILUMINACAO-DOMIC-FAM;COD-CALCAMENTO-DOMIC-FAM
1;0;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
2;100;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
3;50;JEREISSATI I;JEREISSATI;1;1;1;1;1;1;1
4;1045;MUCUNA;MUCUNA;1;1;1;2;1;1;1
5;733;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
6;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
7;75;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
8;50;SIQUEIRA;PARQUE SAO JOAO;1;1;1;3;1;1;2
9;100;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;1
10;66;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
11;500;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
12;50;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
13;139;INDUSTRIAL;PAJUCARA;1;1;1;1;1;1;1
14;0;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;3;1
15;0;ALTO ALEGRE II;ALTO ALEGRE;1;4;1;3;1;1;3
16;416;INDUSTRIAL;PAJUCARA;1;1;1;1;1;1;1
17;0;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;1;1
18;0;ANTONIO JUSTA;ANTONIO JUSTA;2;4;2;;3;5;3
19;66;JARI;PARQUE SAO JOAO;1;1;1;3;1;1;3
20;25;ALTO ALEGRE I;ACARACUZINHO;1;1;1;3;1;3;3
21;87;MUCUNA;MUCUNA;1;1;1;1;1;1;1
22;954;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
23;0;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
24;20;ALTO DA MANGUEIRA;ANTONIO JUSTA;2;4;1;3;1;1;1
25;200;PIRATININGA;PIRATININGA;1;1;1;1;1;1;1
26;0;MUCUNA;MUCUNA;1;2;1;4;3;1;1
27;0;ANTONIO JUSTA;ANTONIO JUSTA;1;4;1;3;1;3;3
28;80;VIDA NOVA;ANTONIO JUSTA;1;1;1;3;1;1;3
29;100;SANTO SATIRO;ACARACUZINHO;1;1;1;3;2;1;3
30;83;TIMBO;TIMBO;1;1;1;1;1;1;1
31;100;TIMBO;TIMBO;1;1;1;1;1;1;1
32;0;JARDIM MARAVILHA;ACARACUZINHO;1;1;1;3;1;1;1
33;477;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;1;1;1;1
34;200;TIMBO;TIMBO;1;1;1;1;1;1;1
35;0;LUZARDO VIANA;MUCUNA;1;1;1;3;1;1;1
36;606;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
37;0;ANTONIO JUSTA;ANTONIO JUSTA;1;4;1;3;1;3;1
38;100;LUZARDO VIANA;MUCUNA;2;2;1;3;1;1;3
39;0;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;3
40;605;PIRATININGA;PIRATININGA;1;1;1;1;1;1;1
41;0;TIMBO;TIMBO;1;1;1;1;1;1;1
42;25;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;2;1;1;1
43;500;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
44;0;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;1;1;3
45;0;SIQUEIRA;PARQUE SAO JOAO;1;1;1;3;1;1;1
46;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
47;1100;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
48;6;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
49;0;JARI;PARQUE SAO JOAO;1;1;1;3;1;1;3
50;234;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;3
51;17;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;1;3
52;25;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
53;4;CANINDEZINHO;PARQUE SAO JOAO;1;1;1;3;4;1;1
54;0;TIMBO;TIMBO;1;1;1;1;1;1;1
55;477;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
56;66;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
57;220;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
58;937;BELA VISTA;JEREISSATI;1;1;1;3;1;1;1
59;312;TIMBO;TIMBO;1;1;1;1;1;1;1
60;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
61;150;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
62;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
63;454;PAU SERRADO;MUCUNA;1;1;1;3;1;1;2
64;234;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
65;33;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
66;0;LUZARDO VIANA;MUCUNA;1;1;1;3;1;1;3
67;0;TIMBO;TIMBO;1;1;1;1;1;1;1
68;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
69;249;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
70;477;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
71;661;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
72;381;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
73;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
74;1100;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
75;0;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;2;1;1;1
76;187;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;2;1;1;1
77;499;NOVO ORIENTE;ACARACUZINHO;1;1;1;1;1;1;1
78;83;TIMBO;TIMBO;1;1;1;1;1;1;1
79;550;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
80;954;MARACANANZINHO;PIRATININGA;1;1;1;1;1;1;1
81;0;PAJUCARA;PAJUCARA;2;1;1;1;1;1;1
82;100;MARACANANZINHO;PIRATININGA;1;1;1;1;1;1;1
83;183;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;3
84;75;PAJUCARA;PAJUCARA;1;1;1;4;1;1;1
85;100;MUCUNA;MUCUNA;2;2;1;3;1;1;1
86;200;INDUSTRIAL;PAJUCARA;1;1;1;3;1;1;1
87;60;MARACANANZINHO;PIRATININGA;1;1;1;1;1;1;1
88;4;LUZARDO VIANA;MUCUNA;1;1;1;3;1;1;3
89;954;JACANAU;MUCUNA;1;1;1;2;1;1;1
90;0;ALTO DA MANGUEIRA;ANTONIO JUSTA;2;1;1;1;1;1;1
91;619;LUZARDO VIANA;MUCUNA;1;1;1;3;1;1;1
92;484;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
93;180;PIRATININGA;PIRATININGA;1;1;1;2;1;1;1
94;312;HORTO;INDIGENA;1;1;1;3;1;1;1
95;62;HORTO;JEREISSATI;1;1;1;3;1;1;1
96;550;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
97;75;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
98;250;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
99;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
100;420;MARACANANZINHO;PIRATININGA;1;1;1;1;1;1;1
101;52;PIRATININGA;PIRATININGA;1;1;1;3;1;1;1
102;33;PIRATININGA;PIRATININGA;1;1;1;2;1;1;2
103;1616;VILA BURITI;ACARACUZINHO;1;1;1;1;1;1;1
104;375;MARACANANZINHO;PIRATININGA;1;1;1;1;1;1;1
105;0;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;2;1;1;1
106;66;TIMBO;TIMBO;1;1;1;1;1;1;1
107;200;MARACANANZINHO;PIRATININGA;1;1;1;1;1;1;1
108;401;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
109;210;PIRATININGA;PIRATININGA;1;1;1;1;1;1;1
110;16;HORTO;JEREISSATI;2;4;1;3;1;1;1
111;50;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
112;1212;NOVO ORIENTE;ACARACUZINHO;1;1;1;1;1;1;1
113;0;JACANAU;MUCUNA;1;1;1;3;1;1;1
114;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
115;50;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;4;1;3;1;1;1
116;1045;PAJUCARA;PAJUCARA;1;1;1;3;1;1;3
117;200;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
118;20;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
119;447;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
120;550;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
121;136;PAJUCARA;PAJUCARA;1;1;1;3;1;3;3
122;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
123;190;ALTO ALEGRE I;ACARACUZINHO;1;1;1;3;1;1;1
124;1002;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
125;200;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
126;83;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
127;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
128;550;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
129;242;CENTRO;JEREISSATI;1;1;1;1;1;1;1
130;261;COQUEIRAL;PIRATININGA;1;1;1;2;1;1;1
131;1098;PIRATININGA;PIRATININGA;1;1;1;2;1;1;1
132;75;INDUSTRIAL;PAJUCARA;1;1;1;1;1;1;1
133;75;HORTO;INDIGENA;1;1;1;3;1;3;3
134;100;PIRATININGA;PIRATININGA;1;1;1;1;1;1;1
135;40;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;1;1
136;238;HORTO;INDIGENA;1;1;1;3;1;1;1
137;200;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
138;206;COQUEIRAL;PIRATININGA;1;1;1;2;1;1;1
139;0;CENTRO;JEREISSATI;1;1;1;3;1;3;2
140;175;CENTRO;JEREISSATI;1;1;1;3;1;1;1
141;199;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;3;1;1;1
142;366;HORTO;INDIGENA;1;1;1;3;1;1;1
143;10;NOVO MARACANAU;PIRATININGA;1;1;1;1;1;1;1
144;0;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
145;1045;CENTRO;JEREISSATI;1;1;1;3;1;1;1
146;50;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
147;0;FURNA DA ONCA;ANTONIO JUSTA;1;1;1;3;1;1;1
148;77;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
149;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
150;998;PIRATININGA;PIRATININGA;1;1;1;2;1;1;1
151;140;COQUEIRAL;PIRATININGA;1;1;1;2;1;1;1
152;655;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
153;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
154;83;PAJUCARA;PAJUCARA;1;2;1;3;1;1;1
155;31;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
156;100;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;2
157;75;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
158;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
159;466;INDUSTRIAL;PAJUCARA;1;1;1;1;1;1;1
160;896;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
161;75;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;2;1;1;1
162;75;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
163;237;PIRATININGA;PIRATININGA;1;1;1;1;1;1;1
164;200;TIMBO;TIMBO;1;1;1;1;1;1;1
165;1150;TIMBO;TIMBO;1;1;1;1;1;1;1
166;0;TIMBO;TIMBO;1;1;1;1;1;1;1
167;414;TIMBO;TIMBO;1;1;1;1;1;1;1
168;0;TIMBO;TIMBO;1;1;1;1;1;1;1
169;550;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
170;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;2
171;50;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
172;348;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
173;50;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
174;0;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;3;1
175;0;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
176;100;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
177;499;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
178;60;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
179;0;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
180;200;PARQUE TIJUCA;MUCUNA;1;1;1;2;1;1;1
181;261;SANTO ANTONIO;INDIGENA;2;2;2;;3;3;3
182;90;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;3;3
183;75;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
184;269;MARACANANZINHO;PIRATININGA;1;1;1;1;1;1;1
185;262;JEREISSATI I;JEREISSATI;1;1;1;1;1;1;1
186;300;NOVO ORIENTE;ACARACUZINHO;1;1;1;1;1;1;1
187;1100;COQUEIRAL;PIRATININGA;1;1;1;1;1;1;1
188;937;NOVO MARACANAU;PIRATININGA;1;1;1;1;1;1;1
189;0;NOVO MARACANAU;PIRATININGA;1;1;1;1;1;1;1
190;66;NOVO ORIENTE;ACARACUZINHO;1;1;1;1;1;1;1
191;404;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
192;418;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
193;275;JEREISSATI I;JEREISSATI;1;1;1;1;1;1;1
194;495;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
195;0;VILA BURITI;ACARACUZINHO;1;1;1;1;1;1;1
196;25;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;1;1
197;4;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;2;1;1;1
198;499;TIMBO;TIMBO;1;1;1;1;1;1;1
199;100;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
200;275;TIMBO;TIMBO;1;1;1;1;1;1;1
201;550;MUCUNA;MUCUNA;1;1;1;3;1;1;1
202;52;COQUEIRAL;PIRATININGA;1;1;1;3;1;1;1
203;1212;MUCUNA;MUCUNA;1;4;1;3;1;1;2
204;404;JACANAU;MUCUNA;1;1;1;3;1;1;1
205;0;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;3;1;1;1
206;499;VIDA NOVA;ANTONIO JUSTA;1;1;1;3;1;1;1
207;37;FURNA DA ONCA;ANTONIO JUSTA;1;4;1;3;1;6;1
208;1100;FURNA DA ONCA;ANTONIO JUSTA;1;1;1;3;1;1;1
209;60;VIDA NOVA;ANTONIO JUSTA;1;1;1;1;1;6;1
210;0;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;3;1;1;1
211;366;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
212;1045;MUCUNA;MUCUNA;1;1;1;3;1;1;1
213;477;MUCUNA;MUCUNA;1;1;1;3;1;1;1
214;1100;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
215;0;PIRATININGA;PIRATININGA;1;1;1;2;1;1;1
216;1045;MUCUNA;MUCUNA;1;1;1;3;1;1;2
217;0;CAGADO;MUCUNA;2;4;1;3;1;1;1
218;0;MUCUNA;MUCUNA;1;1;1;3;1;1;1
219;85;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
220;510;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
221;0;MUCUNA;MUCUNA;1;1;1;3;1;1;1
222;16;MUCUNA;MUCUNA;1;1;1;2;1;2;1
223;220;NOVO MARACANAU;PIRATININGA;1;1;1;1;1;1;1
224;0;MUCUNA;MUCUNA;1;1;1;3;1;1;1
225;62;MUCUNA;MUCUNA;1;1;1;3;1;1;1
226;0;MUCUNA;MUCUNA;1;1;1;3;1;1;1
227;33;MUCUNA;MUCUNA;1;1;1;3;1;1;1
228;150;MUCUNA;MUCUNA;1;1;1;3;1;1;1
229;499;CIDADE NOVA;PAJUCARA;1;1;1;3;1;1;1
230;366;NOVO MARACANAU;PIRATININGA;1;1;1;1;1;1;1
231;20;FURNA DA ONCA;ANTONIO JUSTA;1;1;1;3;1;1;1
232;0;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;1;3
233;550;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
234;762;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
235;377;PIRATININGA;PIRATININGA;1;1;1;2;1;1;1
236;100;PAJUCARA;PAJUCARA;2;4;1;1;1;1;1
237;25;ANTONIO JUSTA;ANTONIO JUSTA;2;1;1;3;1;1;1
238;302;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;1;1;1;1
239;85;CIDADE NOVA;PAJUCARA;1;1;1;3;1;1;1
240;0;HORTO;JEREISSATI;1;1;1;3;1;1;1
241;50;TIMBO;TIMBO;1;1;1;1;1;1;1
242;0;MARACANANZINHO;PIRATININGA;1;1;1;2;1;1;1
243;200;BELA VISTA;JEREISSATI;1;1;1;1;1;1;1
244;0;ALTO ALEGRE I;ACARACUZINHO;1;4;1;3;2;3;3
245;1100;ALTO ALEGRE I;ACARACUZINHO;1;1;1;2;1;1;2
246;0;JARI;PARQUE SAO JOAO;1;1;1;1;1;1;2
247;624;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
248;30;OLHO DAGUA;INDIGENA;1;1;1;3;1;1;1
249;1100;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;1;1
250;880;OLHO DAGUA;INDIGENA;1;1;1;3;1;1;1
251;59;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
252;33;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;6;3
253;17;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
254;0;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
255;1616;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
256;187;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;3
257;0;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;1;1;1;1
258;160;JARDIM MARAVILHA;ACARACUZINHO;1;1;1;3;1;1;1
259;624;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;2
260;63;NOVO ORIENTE;ACARACUZINHO;1;1;1;1;1;1;1
261;52;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;3
262;13;JARDIM MARAVILHA;ACARACUZINHO;1;4;1;3;1;6;1
263;0;NOVO ORIENTE;ACARACUZINHO;1;1;1;1;1;1;1
264;1212;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;1;2
265;31;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;3;3
266;0;MUCUNA;MUCUNA;1;1;1;3;1;1;1
267;1212;PIRATININGA;PIRATININGA;1;1;1;1;1;1;1
268;150;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;1;1;1;3
269;348;BOA VISTA;JEREISSATI;1;1;1;1;1;1;1
270;0;HORTO;JEREISSATI;1;1;1;2;1;1;1
271;1100;PARQUE TIJUCA -RES AGUAS DE JACANA;ACARACUZINHO;1;1;1;1;1;1;1
272;633;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
273;1045;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
274;998;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
275;200;JARDIM MARAVILHA;ACARACUZINHO;1;1;1;3;1;1;1
276;220;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
277;606;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
278;0;LUZARDO VIANA;MUCUNA;1;1;1;3;1;1;1
279;606;MARACANANZINHO;PIRATININGA;1;1;1;1;1;1;1
280;0;MUCUNA;MUCUNA;1;1;1;3;1;1;3
281;0;LUZARDO VIANA;MUCUNA;1;1;1;3;1;1;1
282;200;JACANAU;MUCUNA;1;1;1;2;1;1;1
283;37;MUCUNA;MUCUNA;2;4;1;3;1;3;1
284;50;JACANAU;MUCUNA;1;1;1;3;1;1;2
285;62;JACANAU;MUCUNA;1;1;1;3;1;1;1
286;954;PARQUE TIJUCA -RES AGUAS DE JACANA;ACARACUZINHO;1;1;1;1;1;1;1
287;0;CAGADO;MUCUNA;1;1;1;3;1;1;1
288;0;LUZARDO VIANA;MUCUNA;1;1;1;3;1;1;1
289;400;JACANAU;MUCUNA;1;1;1;3;2;1;3
290;954;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
291;75;JARI;PARQUE SAO JOAO;1;1;1;3;1;3;2
292;733;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
293;0;JARI;PARQUE SAO JOAO;1;1;1;3;1;1;1
294;216;MUCUNA;MUCUNA;1;1;1;3;1;1;3
295;12;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
296;128;MUCUNA;MUCUNA;1;1;1;3;1;1;1
297;100;MUCUNA;MUCUNA;1;1;1;3;1;1;1
298;4;CAGADO;MUCUNA;1;1;1;3;1;1;1
299;627;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
300;303;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
301;50;ACARACUZINHO;ACARACUZINHO;1;1;1;3;1;1;3
302;74;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
303;0;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
304;100;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
305;499;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
306;30;PAJUCARA;PAJUCARA;1;1;1;3;1;3;1
307;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
308;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
309;200;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
310;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
311;477;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
312;75;SANTO ANTONIO;INDIGENA;1;2;1;3;1;1;1
313;0;JEREISSATI II;JEREISSATI;1;2;1;1;1;1;1
314;0;OLHO DAGUA;INDIGENA;1;1;1;3;1;1;1
315;0;OLHO DAGUA;JEREISSATI;2;4;1;3;1;2;1
316;325;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
317;366;HORTO;JEREISSATI;1;1;1;2;1;1;1
318;33;PIRATININGA;PIRATININGA;1;1;1;2;1;1;3
319;1100;JEREISSATI I;TIMBO;1;1;2;;1;1;1
320;75;TIMBO;TIMBO;1;1;1;1;1;1;1
321;0;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;1;1;1;1
322;16;PIRATININGA;PIRATININGA;1;1;1;2;1;1;1
323;305;RESIDENCIAL MARACANAU;PIRATININGA;1;1;1;2;1;6;2
324;8;HORTO;INDIGENA;1;1;1;3;1;1;1
325;1045;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
326;0;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
327;140;TIMBO;TIMBO;1;1;1;1;1;1;1
328;100;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
329;175;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
330;207;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;3;1;1;1
331;176;MUCUNA;MUCUNA;1;1;1;3;1;1;1
332;0;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
333;80;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
334;33;HORTO;JEREISSATI;1;1;1;3;1;1;1
335;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
336;1100;ANTONIO JUSTA;ANTONIO JUSTA;1;1;1;3;1;1;3
337;357;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
338;100;HORTO;JEREISSATI;1;1;1;1;1;1;1
339;12;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
340;0;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
341;937;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
342;83;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
343;606;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
344;0;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
345;140;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
346;75;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
347;416;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
348;0;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;3
349;150;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
350;0;PAJUCARA;JARDIM BANDEIRANTES;2;4;1;3;1;1;1
351;0;FURNA DA ONCA;ANTONIO JUSTA;1;1;1;1;1;1;3
352;0;PIRATININGA;PIRATININGA;1;1;1;1;1;6;1
353;704;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
354;110;PIRATININGA;PIRATININGA;2;3;1;1;1;1;1
355;100;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;2;1;1;3
356;998;PIRATININGA;PIRATININGA;1;1;1;2;1;1;1
357;300;BOA ESPERANCA;PAJUCARA;1;1;1;1;1;1;1
358;250;PIRATININGA;PIRATININGA;1;1;1;2;1;1;1
359;13;ALTO ALEGRE II;ALTO ALEGRE;1;1;1;3;1;1;3
360;550;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
361;602;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
362;0;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
363;65;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
364;380;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;1
365;994;PAJUCARA;JARDIM BANDEIRANTES;2;3;1;3;1;1;2
366;6;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;1;1;3;1
367;40;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
368;550;TIMBO;TIMBO;1;1;1;1;1;1;1
369;106;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
370;18;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
371;66;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
372;150;JEREISSATI I;TIMBO;1;1;1;1;1;1;1
373;100;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
374;0;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
375;325;SANTO SATIRO;ACARACUZINHO;1;1;1;3;1;1;1
376;0;FURNA DA ONCA;ANTONIO JUSTA;1;1;1;3;1;1;1
377;16;HORTO;JEREISSATI;2;4;1;3;1;3;1
378;33;TIMBO;TIMBO;1;1;1;1;1;1;1
