COD-FAMILIAR-FAM;RENDA-MEDIA;LOCALIDADE;UNIDADE_DE_ATENDMENTO;COD-AGUA-CANALIZADA-FAM;COD-ABASTE-AGUA-DOMIC-FAM;COD-BANHEIRO-DOMIC-FAM;COD-ESCOA-SANITARIO-DOMIC-FAM;COD-DESTINO-LIXO-DOMIC-FAM;COD-ILUMINACAO-DOMIC-FAM;COD-CALCAMENTO-DOMIC-FAM
19900;50;NOVO ORIENTE;ACARACUZINHO;1;1;1;1;1;1;1
19901;1045;ALTO DA MANGUEIRA;ANTONIO JUSTA;1;1;1;3;1;1;1
19902;819;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
19903;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
19904;0;ACARACUZINHO;ACARACUZINHO;1;1;1;1;1;1;3
19905;0;CENTRO;JEREISSATI;1;1;1;3;1;1;1
19906;0;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
19907;0;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;1;1;1;1
19908;0;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;1;1;3;1;1;3
19909;303;ANTONIO JUSTA;ANTONIO JUSTA;2;4;1;3;1;1;1
19910;66;JARDIM BANDEIRANTES;JARDIM BANDEIRANTES;1;4;1;3;1;1;2
19911;954;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
19912;1395;PAJUCARA;JARDIM BANDEIRANTES;1;1;1;3;1;1;1
19913;100;TIMBO;TIMBO;1;1;1;1;1;3;1
19914;550;MUCUNA;MUCUNA;1;1;1;3;1;1;1
19915;83;CAGADO;MUCUNA;1;1;1;3;1;1;1
19916;0;MUCUNA;MUCUNA;1;1;1;3;1;1;1
19917;66;ANTONIO JUSTA;ANTONIO JUSTA;1;4;1;3;1;6;3
19918;640;BELA VISTA;JEREISSATI;1;1;1;1;1;1;1
19919;75;ACARACUZINHO;ACARACUZINHO;2;2;1;3;3;1;2
19920;0;JEREISSATI II;CENTRO POP;;;;;;;
19921;30;FURNA DA ONCA;ANTONIO JUSTA;1;1;1;2;1;1;1
19922;468;BELA VISTA;JEREISSATI;1;1;1;1;1;1;1
19923;0;TIMBO;TIMBO;1;1;1;1;1;1;1
19924;606;JEREISSATI I;JEREISSATI;2;4;1;1;1;1;1
19925;50;TIMBO;TIMBO;1;1;1;1;1;1;1
19926;62;HORTO;JEREISSATI;1;1;1;1;1;1;1
19927;150;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
19928;538;TIMBO;TIMBO;1;1;1;1;1;1;1
19929;200;TIMBO;TIMBO;1;1;1;1;1;1;1
19930;50;LUZARDO VIANA;MUCUNA;1;1;1;3;1;3;1
19931;66;JEREISSATI II;JEREISSATI;1;1;1;1;1;1;1
19932;50;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
19933;998;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
19934;0;VILA BURITI;ACARACUZINHO;1;1;1;3;1;3;1
19935;1100;TIMBO;TIMBO;1;1;1;1;1;1;1
19936;1100;CIDADE NOVA;PAJUCARA;1;1;1;1;1;1;1
19937;50;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
19938;541;VIDA NOVA;ANTONIO JUSTA;1;1;1;3;1;1;3
19939;0;PAJUCARA;PAJUCARA;1;1;1;1;1;1;1
19940;669;PAJUCARA;PAJUCARA;1;1;1;3;1;1;1
19941;150;LUZARDO VIANA;MUCUNA;2;1;1;3;1;3;1
19942;25;SIQUEIRA;PARQUE SAO JOAO;2;2;1;2;1;1;1
